OML UID,Entity / Source,Survey Type,Status,Assignee,Neighborhood,Zone,Lat,Long
BC241,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8943568,35.537816
BC242,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8966291,35.5269367
BC243,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8960163,35.5265256
BC244,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.896423,35.526466
BC245,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8947603,35.5374637
BC246,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.896428,35.534063
BC247,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8950255,35.5195891
BC248,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8964259,35.5270262
BC249,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.90215,35.523485
BC250,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8911532,35.5378851
BC251,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8965467,35.5266547
BC252,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8971111,35.5272411
BC253,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8942641,35.5374553
BC254,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.892861,35.539138
BC255,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8959575,35.5279693
BC256,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.90215,35.523485
BC257,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.896423,35.526466
BC258,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8947887,35.5376279
